,n_bins,d_embedding,n_blocks,d_block,arch_type,lr,weight_decay,Target
0,47,8,2,992,tabm-mini,0.0001684880160268803,0.00011675931233792309,BlendProperty1
0,120,12,1,912,tabm-mini,0.002201092511602808,0.044159893618109215,BlendProperty2
0,40,16,4,288,tabm,0.0009160182911063128,0.00014310814124189483,BlendProperty3
0,58,12,1,1024,tabm-mini,0.0011746079565887163,0.00154752915410143,BlendProperty4
0,86,32,4,800,tabm-mini,0.0007419582559047484,0.0035331840523343955,BlendProperty5
0,44,16,1,720,tabm-mini,0.004164757011935714,0.00012808270356222368,BlendProperty6
0,50,24,2,240,tabm,0.002908006166068057,0.0013059240761220526,BlendProperty7
0,63,8,3,528,tabm,0.0025600998190621503,0.04415128533358003,BlendProperty8
0,21,16,2,368,tabm-mini,0.0009424091203035168,0.005032765300717956,BlendProperty9
0,65,12,1,896,tabm,0.0001074647918375405,0.005531229505168733,BlendProperty10
