,embedding_type,n_bins,d_embedding,n_blocks,d_block,arch_type,lr,weight_decay,share_training_batches,Target,Score
0,PeriodicEmbeddings,122,28,1,688,tabm,0.0013681854465261063,0.0006380782463926029,F,BlendProperty1,97.51368876046921
0,PeriodicEmbeddings,57,16,1,992,tabm-mini,0.0009479379771190914,0.0003956466296072083,F,BlendProperty2,97.66661145450882
0,PeriodicEmbeddings,47,16,4,160,tabm,0.0022238652499893146,0.0004994165115486839,F,BlendProperty3,87.83474650698969
0,PeriodicEmbeddings,74,16,1,1024,tabm,0.0012491868653081487,0.00011736742878194151,F,BlendProperty4,97.33450583953403
0,PeriodicEmbeddings,109,16,3,480,tabm,0.0008598979439954403,0.058169180069353794,F,BlendProperty5,98.79298329876436
0,PeriodicEmbeddings,76,32,1,736,tabm-mini,0.0009124019334301871,0.0005415090477718171,F,BlendProperty6,97.42622451813081
0,PeriodicEmbeddings,68,28,2,304,tabm-mini,0.002764152380072877,0.016223809189709292,F,BlendProperty7,89.91763035057798
0,PeriodicEmbeddings,54,20,2,784,tabm-mini,0.001175505037050614,0.0005834845935334317,T,BlendProperty8,90.72854244311628
0,PeriodicEmbeddings,47,32,2,736,tabm,0.0020258324726678606,0.002453439696784201,T,BlendProperty9,87.74307364294891
0,PeriodicEmbeddings,95,8,1,912,tabm,0.0007478395242935037,0.06396549000166715,F,BlendProperty10,96.73824057570806
